task_id,difficulty,condition,repeat,model,test_passed,partial_pass_rate,num_turns,total_cost_usd,duration_ms,input_tokens,output_tokens,is_error,budget_hit,compliance,loc
002_reverse_string,easy,formal_lite,1,minimaxm27,True,1.0,7,0.1556526,30402,31189,820,False,False,True,7
010_binary_tree_level_order,medium,formal_lite,1,minimaxm27,False,0.8,15,0.5886167999999999,187930,34478,3737,False,False,True,36
002_reverse_string,easy,baseline,1,minimaxm27,True,1.0,11,0.1804337999999999,50991,31692,1015,False,False,True,7
003_valid_parentheses,easy,meow_lite,1,minimaxm27,True,1.0,8,0.1702854,33436,33726,707,False,False,True,14
005_palindrome_number,easy,baseline,1,minimaxm27,True,1.0,9,0.1846104,39372,31565,1371,False,False,True,22
008_longest_substring,medium,formal_lite,1,minimaxm27,True,1.0,7,0.1550694,30543,33488,1033,False,False,True,15
008_longest_substring,medium,formal_plus,1,minimaxm27,True,1.0,8,0.145557,30160,30999,848,False,False,False,21
016_trapping_rain_water,hard,baseline,1,minimaxm27,True,1.0,7,0.1729608,35992,33802,842,False,False,True,24
002_reverse_string,easy,meowmax,1,minimaxm27,True,1.0,9,0.1647173999999999,37581,33801,932,False,False,True,7
007_group_anagrams,medium,formal_plus,1,minimaxm27,True,1.0,7,0.1597644,28122,33643,1315,False,False,False,13
009_lru_cache,medium,formal_lite,1,minimaxm27,True,1.0,31,0.5746673999999998,155883,42551,3837,False,False,True,59
014_product_except_self,medium,formal_plus,1,minimaxm27,True,1.0,9,0.1721268,53366,31405,1853,False,False,True,21
018_serialize_binary_tree,hard,meow_lite,1,minimaxm27,True,1.0,11,0.2199876,80222,32591,2075,False,False,True,29
003_valid_parentheses,easy,formal_lite,1,minimaxm27,True,1.0,9,0.1645806,33314,31138,779,False,False,False,14
016_trapping_rain_water,hard,meowmax,1,minimaxm27,True,1.0,7,0.1577856,33277,31139,985,False,False,True,24
020_longest_valid_parentheses,hard,baseline,1,minimaxm27,True,1.0,9,0.1887228,43836,34150,1804,False,False,True,18
007_group_anagrams,medium,baseline,1,minimaxm27,True,1.0,9,0.1747752,34899,33989,923,False,False,True,14
017_word_ladder,hard,meow_lite,1,minimaxm27,True,1.0,9,0.1813884,49523,34402,1232,False,False,True,28
011_sort_colors,medium,baseline,1,minimaxm27,True,1.0,12,0.2428781999999999,78144,34950,1879,False,False,True,17
002_reverse_string,easy,meow_lite,1,minimaxm27,True,1.0,9,0.1989185999999999,47916,34386,1145,False,False,True,7
003_valid_parentheses,easy,baseline,1,minimaxm27,True,1.0,7,0.1503078,25257,33464,689,False,False,True,14
008_longest_substring,medium,meow_lite,1,minimaxm27,True,1.0,8,0.1741884,33276,33881,917,False,False,True,13
012_validate_bst,medium,formal_lite,1,minimaxm27,True,1.0,9,0.1924428,41389,34382,1340,False,False,True,47
016_trapping_rain_water,hard,meow_lite,1,minimaxm27,True,1.0,28,0.6061788,275396,37635,7180,False,False,True,24
004_merge_sorted_lists,easy,meow_lite,1,minimaxm27,True,1.0,8,0.16416,27972,33880,904,False,False,True,20
011_sort_colors,medium,formal_plus,1,minimaxm27,True,1.0,14,0.3477852,79986,36010,1585,False,False,True,14
